timestamp,equity,profitloss,profitloss_pct,base_value
2026-02-20 06:30:00,100000.0,0.0,0.0,100000.0
2026-02-21 06:30:00,100000.0,0.0,0.0,100000.0
2026-02-24 06:30:00,99898.06,-101.94,-0.001,100000.0
2026-02-25 06:30:00,99982.44,84.38,0.0008,100000.0
2026-02-26 06:30:00,100132.65,150.21,0.0015,100000.0
2026-02-27 06:30:00,99603.84,-528.81,-0.0053,100000.0
2026-02-28 06:30:00,99306.05,-297.79,-0.003,100000.0
2026-03-03 06:30:00,99211.3,-94.75,-0.001,100000.0
2026-03-04 06:30:00,96093.34,-3117.96,-0.0314,100000.0
2026-03-05 06:30:00,95683.92,-409.42,-0.0043,100000.0
2026-03-06 06:30:00,95640.54,-43.38,-0.0005,100000.0
2026-03-07 06:30:00,95603.7,-36.84,-0.0004,100000.0
2026-03-10 05:30:00,95710.99,107.29,0.0011,100000.0
2026-03-11 05:30:00,95808.35,97.36,0.001,100000.0
2026-03-12 05:30:00,95763.42,-44.93,-0.0005,100000.0
2026-03-13 05:30:00,95416.76,-346.66,-0.0036,100000.0
2026-03-14 05:30:00,95180.03,-236.73,-0.0025,100000.0
2026-03-17 05:30:00,95312.41,132.38,0.0014,100000.0
2026-03-18 05:30:00,95346.57,34.16,0.0004,100000.0
2026-03-19 05:30:00,94948.14,-398.43,-0.0042,100000.0
